,Average,Standard Deviation
1,24.345453162117153,34.58904583082456
2,28.940258958145137,33.06273099072262
3,44.01784643071386,56.97395834804458
5,17.01379552523327,22.237043164699354
7,25.88523676880223,29.238809375265745
8,14.573253759017296,18.8554236965803
9,26.885953177257527,33.025130095775594
10,37.09017912291538,54.95661191100435
11,19.303638983966852,25.0160122273378
12,28.267113764619285,40.57990161866741
13,19.748455323193916,20.898204114830015
14,57.48191593352884,108.54401749203826
